,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.253,0.119,,0.434,,0.262,,0.553
From ENJ,0.598,,,,0.31,0.434,0.137,,0.194,
From Im,,,,0.119,,,0.137,0.262,0.194,0.553
From JR,0.598,,0.253,,,,,,0.194,
From PEU,,0.221,0.253,,,0.434,0.137,,0.194,0.553
From PU,0.598,0.221,,0.119,,,,0.262,0.194,0.553
From Pf,,,,,0.31,,,0.262,0.194,0.553
From Qu,,,,,0.31,,,,0.194,0.553
From SA,,,,,0.31,0.434,0.137,0.262,,0.553
From Use,0.598,,0.253,0.119,,0.434,0.137,0.262,0.194,
